type,title,description,datetime,amount,source_type,source_id,dest_type,dest_id,category_id
EXPENSE,Small case Investment,,1-5-26,5000,BANK_ACCOUNT,2,,,11
EXPENSE,Mutual fund investment,,1-5-26,5500,BANK_ACCOUNT,2,,,11
EXPENSE,Tata ULIP Investment,,3-5-26,2500,BANK_ACCOUNT,2,,,11
EXPENSE,Small case Investment,Amount spent to rebalance the stocks,5-5-26,600,BANK_ACCOUNT,2,,,11
EXPENSE,Uber Payment,,5-5-26,51.46,BANK_ACCOUNT,2,,,3
EXPENSE,Personal Loan EMI,,10-5-26,13221,BANK_ACCOUNT,2,,,8
EXPENSE,Amazon Now Purchase,,10-5-26,100,BANK_ACCOUNT,2,,,2
EXPENSE,Amazon EMI,,21-4-26,"3,706.55",CREDIT_CARD,2,,,8
EXPENSE,Flipkart Minutes Purchase,,22-4-26,150,CREDIT_CARD,2,,,6
EXPENSE,Dress purchase,,26-4-26,499,CREDIT_CARD,2,,,9
EXPENSE,Dress purchase,,26-4-26,1000,CREDIT_CARD,2,,,9
EXPENSE,Amrita Hospital bill,,30-4-26,930,CREDIT_CARD,2,,,8
EXPENSE,Amrita Hospital bill,,30-4-26,2641,CREDIT_CARD,2,,,8
EXPENSE,Amrita Hospital bill,,30-4-26,400,CREDIT_CARD,2,,,8
EXPENSE,Train ticket,,7-5-26,1572,CREDIT_CARD,2,,,3
EXPENSE,Swiggy food,,18-4-26,396,CREDIT_CARD,1,,,2
EXPENSE,Amazon Now Purchase,,18-4-26,149,CREDIT_CARD,1,,,6
EXPENSE,Flipkart Minutes Purchase,,19-4-26,191,CREDIT_CARD,1,,,6
EXPENSE,Zomato Food,,20-4-26,163.85,CREDIT_CARD,1,,,2
EXPENSE,Petrol,,21-4-26,1136.24,CREDIT_CARD,1,,,3
EXPENSE,Swish Food,,22-4-26,238,CREDIT_CARD,1,,,2
EXPENSE,Jim Beam,,24-4-26,3025,CREDIT_CARD,1,,,7
EXPENSE,Corner house,,24-4-26,179,CREDIT_CARD,1,,,5
EXPENSE,Nahdi Mandi,,25-4-26,620,CREDIT_CARD,1,,,5
EXPENSE,Mr DIY,,25-4-26,139,CREDIT_CARD,1,,,9
EXPENSE,Loyal city shopping,,25-4-26,307,CREDIT_CARD,1,,,6
EXPENSE,Star bazaar shopping,,26-4-26,234.40,CREDIT_CARD,1,,,6
EXPENSE,Flipkart Minutes Purchase,,27-4-26,145,CREDIT_CARD,1,,,6
EXPENSE,Internet bill(Tata play),,27-4-26,1062,CREDIT_CARD,1,,,8
EXPENSE,Swiggy food,,29-4-26,332,CREDIT_CARD,1,,,2
EXPENSE,Flipkart Minutes Purchase,,30-4-26,195,CREDIT_CARD,1,,,6
EXPENSE,Rentomojo bill,,1-5-26,243.07,CREDIT_CARD,1,,,8
EXPENSE,Petrol,,2-5-26,1369.06,CREDIT_CARD,1,,,3
EXPENSE,Zomato Food,,6-5-26,294.04,CREDIT_CARD,1,,,2
EXPENSE,Zomato Food,,7-5-26,258.03,CREDIT_CARD,1,,,2
EXPENSE,Flipkart Minutes Purchase,,8-5-26,116,CREDIT_CARD,1,,,6
EXPENSE,Flipkart Minutes Purchase,,8-5-26,140,CREDIT_CARD,1,,,6
EXPENSE,Fish,,9-5-26,667,CREDIT_CARD,1,,,2
EXPENSE,Corner house,,9-5-26,231,CREDIT_CARD,1,,,5
